# This file contains the statistics of trip_distance data in NYC datasets
# There are total: 147 550 563 values, in which there are 7670 distinct values
# We also count the number of repeatation for each value as follows: 
('60.87', 2)
('60.86', 2)
('60.81', 1)
('60.80', 4)
('60.83', 1)
('60.88', 2)
('178.30', 1)
('68.99', 1)
('.65', 276019)
('62.83', 1)
('62.80', 6)
('62.88', 1)
('80.01', 1)
('2', 1)
('14.88', 1893)
('14.89', 1932)
('14.86', 1920)
('14.87', 1903)
('14.84', 1931)
('14.85', 1837)
('14.82', 1915)
('14.83', 1871)
('14.80', 17116)
('14.81', 1855)
('60.76', 1)
('60.77', 1)
('98.67', 1)
('43.64', 8)
('98.61', 1)
('171.10', 1)
('76.80', 1)
('76.85', 1)
('76.88', 1)
('300.00', 2)
('190.90', 2)
('19.58', 2213)
('19.59', 2131)
('19.52', 2369)
('19.53', 2390)
('19.50', 19759)
('19.51', 2282)
('19.56', 2262)
('19.57', 2308)
('19.54', 2197)
('19.55', 2286)
('153.90', 1)
('131.30', 1)
('166086.30', 1)
('48.43', 3)
('48.42', 1)
('48.41', 2)
('48.40', 23)
('48.47', 1)
('48.46', 1)
('48.45', 3)
('48.44', 2)
('80.80', 1)
('48.49', 3)
('48.48', 1)
('74.88', 1)
('96.19', 1)
('74.80', 1)
('96.11', 1)
('96.10', 1)
('74.86', 1)
('90.10', 1)
('90.16', 1)
('78.00', 2)
('85.60', 2)
('85.67', 2)
('47.91', 4)
('47.90', 36)
('22.56', 473)
('22.57', 508)
('47.95', 3)
('78.09', 2)
('503.00', 1)
('57.74', 1)
('83.20', 2)
('66.86', 1)
('47.96', 5)
('66.83', 1)
('66.81', 2)
('66.80', 6)
('179.40', 2)
('47.48', 4)
('47.49', 3)
('47.46', 1)
('47.47', 2)
('47.44', 5)
('47.45', 7)
('47.42', 3)
('57.86', 3)
('47.40', 30)
('47.41', 6)
('67.25', 1)
('67.20', 6)
('24.29', 139)
('24.28', 159)
('24.23', 152)
('24.22', 162)
('24.21', 171)
('24.20', 1456)
('24.27', 177)
('24.26', 175)
('24.25', 173)
('24.24', 169)
('93.37', 1)
('93.35', 1)
('93.30', 2)
('39.39', 15)
('39.36', 9)
('39.37', 11)
('39.34', 8)
('39.35', 11)
('39.32', 12)
('39.33', 5)
('39.30', 70)
('39.31', 11)
('32.11', 23)
('32.10', 249)
('32.13', 26)
('32.12', 21)
('32.15', 35)
('32.14', 27)
('32.17', 29)
('32.16', 24)
('32.19', 32)
('32.18', 26)
('72.89', 1)
('108.58', 1)
('72.80', 1)
('167.80', 1)
('14.48', 1963)
('59.81', 1)
('59.80', 6)
('59.83', 2)
('59.82', 1)
('187.20', 1)
('59.84', 2)
('59.87', 1)
('59.86', 1)
('59.89', 1)
('3180000.00', 1)
('109.50', 1)
('40.90', 56)
('40.91', 7)
('26.63', 129)
('40.93', 7)
